dataset,model,accuracy_range,max_parity_ratio,equalized_odds_diff,overall_accuracy,FPR,F1,recall_range,brier_score_range
Adult Data Set (Census),logistic_regression,0.110571845,0.51418119,0.03870147,0.790074929,0.03870147,0.011174622,0.010490143,0.013738914
Adult Data Set (Census),naive_bayes,0.097909931,0.559143223,0.022942973,0.804078123,0.022942973,0.000163572,0.011367062,0.092073605
Adult Data Set (Census),nearest_neighbors,0.0782192,0.686369415,0.024904498,0.784793023,0.010075043,0.077603367,0.024904498,0.042909825
Adult Data Set (Census),decision_tree,0.085519793,0.498202196,0.069412342,0.817835647,0.069412342,0.036818495,0.041379613,0.085519793
Adult Data Set (Census),random_forest,0.06670851,0.441945175,0.086124402,0.855300332,0.047752207,0.056054531,0.086124402,0.047854995
Adult Data Set (Census),multilayer_perceptron,0.108550728,0.262618212,0.04357191,0.782950497,0.004169688,0.072303207,0.04357191,0.108284679
Adult Data Set (Census),svm_model,0.065150837,0.359428282,0.16263558,0.849035745,0.047848824,0.115110902,0.16263558,0.044891714
Bank Dataset,logistic_regression,0.0048303,0.973923629,0.030313589,0.456604441,0.0128418,0.015897078,0.030313589,0.005285354
Bank Dataset,naive_bayes,0.000574833,0.950858451,0.000643178,0.999734584,0.000643178,0.002688397,0,7.66E-05
Bank Dataset,nearest_neighbors,0.00881831,0.789782818,0.038675958,0.886844201,0.010058845,0.025336927,0.038675958,0.006712874
Bank Dataset,decision_tree,0,0.945759574,0,1,0,0,0,0
Bank Dataset,random_forest,0,0.945759574,0,1,0,0,0,0.000219572
Bank Dataset,multilayer_perceptron,0.005342543,0.988200862,0.044076655,0.993718482,0.000225632,0.02373359,0.044076655,0.004294828
Bank Dataset,svm_model,0.000499401,0.949896755,0.004355401,0.99955764,0,0.002182453,0.004355401,0.000281382
Communities and Crime,logistic_regression,0.206225951,0.349471952,0.273904597,0.713426854,0.108695652,0.389646498,0.273904597,0.042841191
Communities and Crime,naive_bayes,0.288348875,0.240091769,0.072463768,0.78757515,0.072463768,0.102678571,0.058925103,0.273632074
Communities and Crime,nearest_neighbors,0.174177557,0.406677182,0.116339305,0.753507014,0.050724638,0.279083431,0.116339305,0.127858009
Communities and Crime,decision_tree,0.129510868,0.268962969,0.264407511,0.785571142,0.260869565,0.328821045,0.264407511,0.129510868
Communities and Crime,random_forest,0.126772281,0.167667011,0.246492553,0.871743487,0.242753623,0.183209758,0.246492553,0.078164575
Communities and Crime,multilayer_perceptron,0.159635317,0.145043998,0.317720699,0.837675351,0.188405797,0.276923077,0.317720699,0.161154828
Communities and Crime,svm_model,0.147121018,0.187990285,0.27173913,0.851703407,0.27173913,0.189925119,0.219943881,0.085814096
Diabetes Dataset 1999-2008,logistic_regression,0.000598584,0.979110687,0.035087454,0.674331104,0.002549565,0.020681983,0.035087454,0.001142615
Diabetes Dataset 1999-2008,naive_bayes,0.001593413,0.997783334,0.002595892,0.113712375,0.002595892,0.006081059,0.000772318,0.001593418
Diabetes Dataset 1999-2008,nearest_neighbors,0.001475382,0.973990039,0.012841675,0.885451505,0.001279525,0.023523746,0.012841675,0.00057835
Diabetes Dataset 1999-2008,decision_tree,0.003001349,0.985401943,0.018323616,0.800167224,0.004457601,0.021011044,0.018323616,0.003001349
Diabetes Dataset 1999-2008,random_forest,0.002810252,0.6515625,0.002862119,0.891931438,0.001069507,0.005716306,0.002862119,0.003282076
Diabetes Dataset 1999-2008,multilayer_perceptron,0.004305306,0.877941714,0.010130991,0.881688963,0.001773907,0.015546218,0.010130991,0.000948755
Diabetes Dataset 1999-2008,svm_model,0.004100157,,0,0.892140468,0,0,0,0.002463137
law Dataset,logistic_regression,0.009412275,0.950309659,0.091925466,0.775732934,0.091925466,0.01024841,0.020748091,0.007132517
law Dataset,naive_bayes,0.006948888,0.965642242,0.083436853,0.833083672,0.083436853,0.006569974,0.013369476,0.011450633
law Dataset,nearest_neighbors,0.00773298,0.986131894,0.074534161,0.901562166,0.074534161,0.004981368,0.003626568,0.004605536
law Dataset,decision_tree,0.023500072,0.973660214,0.029399586,0.855125187,0.029399586,0.014894573,0.019131888,0.023500072
law Dataset,random_forest,0.003917857,0.975474107,0.145134576,0.909693987,0.145134576,0.003126632,0.007178805,0.000973419
law Dataset,multilayer_perceptron,0.002449429,0.979917494,0.12194617,0.910335973,0.12194617,0.002225461,0.003944354,0.000674506
law Dataset,svm_model,0.008318863,0.986351317,0.085300207,0.911191954,0.085300207,0.005141298,0.003698854,0.003998408
Loans Default Dataset,logistic_regression,0.019214741,0.933150212,0.022223361,0.700933333,0.005557374,0.045150804,0.022223361,0.003560251
Loans Default Dataset,naive_bayes,0.030341806,0.996418383,0.004552898,0.408133333,0.004552898,0.059601983,0.003808088,0.005898748
Loans Default Dataset,nearest_neighbors,0.037187997,0.74970823,0.048844836,0.754533333,0.019530301,0.059418666,0.048844836,0.024268561
Loans Default Dataset,decision_tree,0.015711308,0.917144765,0.025321367,0.731466667,0.004799138,0.048985961,0.025321367,0.0158618
Loans Default Dataset,random_forest,0.032106417,0.810904293,0.015454892,0.813733333,0.011961488,0.018349431,0.015454892,0.017662204
Loans Default Dataset,multilayer_perceptron,0.047336515,0.551940369,0.025779626,0.781866667,0.01678474,0.035866245,0.025779626,0.046390937
Loans Default Dataset,svm_model,0.030663084,0.850430803,0.004912128,0.820266667,0.004912128,0.0106824,0.003584082,0.020720843
Obermeyer Health Dataset,logistic_regression,0.011018627,0.94375283,0.033127162,0.352410626,0.033127162,0.074162843,0.018005756,0.007289388
Obermeyer Health Dataset,naive_bayes,0.037002348,0.446319434,0.150462783,0.951049524,0.036291316,0.104384518,0.150462783,0.036831915
Obermeyer Health Dataset,nearest_neighbors,0.018891255,0.41125578,0.119662441,0.972285995,0.000681816,0.157142857,0.119662441,0.016783767
Obermeyer Health Dataset,decision_tree,0.027022322,0.438832473,0.137045967,0.962282716,0.015807313,0.131165187,0.137045967,0.027022322
Obermeyer Health Dataset,random_forest,0.019079144,0.275921421,0.167768531,0.975319777,0.004302356,0.172166765,0.167768531,0.012846078
Obermeyer Health Dataset,multilayer_perceptron,0.01806072,0.316736546,0.159485105,0.974417842,0.002586215,0.178715796,0.159485105,0.014020627
Obermeyer Health Dataset,svm_model,0.034151292,0,0.010033445,0.968596261,9.52E-05,0.01980198,0.010033445,0.01730534
Student Performance Datset,logistic_regression,0.2,0.747126437,0.516666667,0.535353535,0.033333333,0.236363636,0.516666667,0.031199601
Student Performance Datset,naive_bayes,0.148148148,0.917647059,0.2,0.585858586,0.166666667,0.082422204,0.2,0.156067484
Student Performance Datset,nearest_neighbors,0.051851852,0.757575758,0.2,0.505050505,0.066666667,0.068796069,0.2,0.061037037
Student Performance Datset,decision_tree,0.125925926,0.969230769,0.166666667,0.575757576,0.1,0.075555556,0.166666667,0.125925926
Student Performance Datset,random_forest,0.188888889,0.219298246,0.625,0.585858586,0.166666667,0.519269777,0.625,0.056028519
Student Performance Datset,multilayer_perceptron,0.125925926,0.625,0.391666667,0.464646465,0.066666667,0.223443223,0.391666667,0.042087202
Student Performance Datset,svm_model,0.133333333,0.614035088,0.375,0.616161616,0.066666667,0.219814241,0.375,0.056795887
