id,decile1b,decile3,lsat,ugpa,zfygpa,zgpa,fulltime,fam_inc,male,racetxt,tier,pass_bar
1,9.00,7.00,46.00,2.90,1.02,0.30,1.00,4.00,1.00,1,3,1
2,6.00,4.00,32.00,3.30,0.24,-0.45,1.00,3.00,0.00,1,3,1
3,7.00,5.00,41.00,3.90,0.54,-0.20,1.00,4.00,0.00,1,4,1
4,7.00,8.00,44.00,3.70,0.54,0.84,1.00,3.00,1.00,1,4,1
5,7.00,7.00,48.00,2.90,0.40,0.52,1.00,5.00,0.00,1,4,1
6,1.00,1.00,31.30,3.00,-2.13,-2.21,1.00,3.00,1.00,1,3,1
7,10.00,10.00,48.00,3.50,1.48,1.71,1.00,3.00,1.00,1,6,1
8,5.00,2.00,38.00,2.80,-0.14,-1.02,1.00,3.00,0.00,1,4,1
9,1.00,1.00,37.00,3.60,-1.18,-1.68,1.00,3.00,0.00,1,4,1
10,3.00,4.00,37.00,3.10,-0.58,-0.35,1.00,4.00,0.00,1,3,1
11,8.00,7.00,40.00,3.80,0.75,0.41,1.00,3.00,0.00,1,4,1
12,7.00,7.00,29.00,3.20,0.41,0.27,2.00,3.00,0.00,1,3,1
13,3.00,5.00,46.00,3.30,-0.77,-0.12,1.00,4.00,0.00,1,6,1
14,8.00,7.00,41.00,2.60,0.63,0.29,1.00,3.00,1.00,1,3,1
15,9.00,9.00,34.00,3.60,0.98,0.94,1.00,4.00,1.00,1,5,1
16,2.00,2.00,29.00,2.80,-1.03,-1.21,1.00,4.00,1.00,0,3,1
17,6.00,5.00,37.00,3.30,0.24,-0.08,1.00,4.00,1.00,1,3,1
18,10.00,9.00,36.50,2.90,1.59,1.31,1.00,2.00,0.00,0,1,1
19,8.00,7.00,25.00,3.00,0.77,0.48,1.00,4.00,0.00,1,4,1
20,9.00,9.00,45.00,3.40,0.94,1.02,1.00,4.00,1.00,1,4,1
21,4.00,3.00,39.00,2.80,-0.37,-0.67,2.00,4.00,1.00,1,4,1
22,10.00,9.00,42.00,3.80,1.59,1.15,1.00,4.00,0.00,1,6,1
23,10.00,10.00,48.00,3.40,2.08,1.89,1.00,4.00,1.00,1,4,1
24,5.00,3.00,35.50,3.50,-0.13,-0.77,1.00,3.00,0.00,1,3,1
25,6.00,7.00,41.00,3.40,0.12,0.40,1.00,4.00,0.00,1,4,1
26,2.00,6.00,34.00,3.30,-0.75,0.25,2.00,2.00,0.00,1,4,1
27,10.00,10.00,48.00,3.40,2.85,2.23,1.00,4.00,1.00,1,5,1
28,7.00,8.00,35.00,3.10,0.50,0.65,1.00,3.00,1.00,1,5,1
29,3.00,4.00,42.00,3.90,-0.63,-0.26,1.00,4.00,1.00,1,6,1
30,10.00,5.00,37.00,2.80,1.40,0.00,1.00,4.00,1.00,1,5,1
31,10.00,10.00,44.00,3.10,1.74,1.58,1.00,5.00,1.00,1,4,1
32,5.00,5.00,27.00,2.80,-0.16,-0.10,1.00,3.00,0.00,1,3,1
33,9.00,7.00,42.00,3.10,0.96,0.51,1.00,4.00,1.00,1,4,1
34,4.00,3.00,35.00,3.00,-0.31,-0.67,1.00,3.00,0.00,1,3,0
35,5.00,3.00,36.00,3.10,-0.10,-0.57,1.00,4.00,1.00,1,3,1
36,1.00,1.00,42.00,2.90,-2.02,-2.23,1.00,4.00,1.00,1,4,0
37,8.00,6.00,33.00,3.30,0.80,0.23,1.00,3.00,0.00,1,4,1
38,7.00,8.00,39.00,3.50,0.39,0.61,1.00,4.00,0.00,1,3,1
39,3.00,2.00,44.00,2.70,-0.45,-0.98,1.00,5.00,1.00,1,4,0
40,1.00,2.00,31.50,3.10,-1.72,-1.01,1.00,3.00,1.00,1,3,1
41,7.00,9.00,45.00,3.00,0.54,1.14,1.00,3.00,1.00,1,4,1
42,1.00,1.00,46.00,3.60,-1.72,-1.40,1.00,3.00,1.00,1,5,1
43,7.00,6.00,40.00,3.70,0.42,0.13,1.00,3.00,0.00,1,4,1
44,6.00,5.00,36.00,2.70,0.26,0.00,1.00,4.00,1.00,1,5,1
45,7.00,6.00,40.00,3.10,0.50,0.07,1.00,3.00,1.00,1,3,1
46,6.00,6.00,44.00,3.20,0.17,0.24,1.00,4.00,1.00,1,6,1
47,2.00,2.00,25.00,2.80,-0.91,-0.95,1.00,2.00,0.00,1,4,0
48,3.00,3.00,43.00,2.90,-0.65,-0.74,1.00,3.00,0.00,1,4,1
49,1.00,1.00,25.00,3.10,-1.44,-1.50,1.00,4.00,0.00,0,4,0
50,8.00,7.00,37.00,3.10,0.65,0.35,1.00,4.00,1.00,1,5,1
51,1.00,4.00,32.00,3.30,-1.58,-0.43,1.00,3.00,0.00,1,3,0
52,6.00,7.00,46.00,3.30,0.30,0.51,1.00,4.00,0.00,1,4,1
53,4.00,5.00,33.00,3.60,-0.34,-0.12,1.00,4.00,0.00,1,3,1
54,6.00,6.00,39.00,2.70,0.21,0.10,1.00,4.00,0.00,1,4,1
55,6.00,6.00,37.00,3.30,0.13,0.14,1.00,5.00,0.00,1,3,1
56,10.00,8.00,30.00,3.60,1.38,0.77,1.00,4.00,1.00,1,3,1
57,6.00,7.00,44.00,3.50,0.35,0.43,1.00,4.00,0.00,1,6,1
58,10.00,10.00,43.00,3.80,1.76,1.63,1.00,3.00,0.00,1,4,1
59,1.00,1.00,40.00,3.20,-1.16,-1.39,1.00,4.00,0.00,1,3,1
60,8.00,8.00,34.00,3.00,0.58,0.62,1.00,4.00,1.00,1,3,1
61,1.00,2.00,38.00,3.00,-1.23,-0.86,1.00,5.00,1.00,1,5,1
62,3.00,5.00,37.00,2.40,-0.51,-0.27,2.00,4.00,1.00,1,2,1
63,3.00,6.00,39.00,3.60,-0.57,0.07,1.00,4.00,1.00,1,4,1
64,1.00,1.00,42.00,3.90,-1.30,-1.37,1.00,3.00,0.00,1,6,1
65,8.00,10.00,40.50,3.70,0.80,1.42,1.00,5.00,1.00,1,4,1
66,9.00,8.00,44.00,3.30,1.13,0.84,1.00,4.00,1.00,1,3,1
67,4.00,6.00,35.00,2.90,-0.24,0.10,1.00,4.00,1.00,1,3,1
68,3.00,2.00,35.00,3.00,-0.62,-0.90,1.00,2.00,1.00,0,4,1
69,7.00,7.00,38.00,3.30,0.33,0.32,1.00,3.00,0.00,1,5,1
70,8.00,7.00,35.00,3.10,0.72,0.51,1.00,3.00,1.00,1,4,1
71,3.00,5.00,36.00,3.10,-0.54,-0.09,2.00,3.00,1.00,1,5,1
72,6.00,6.00,32.00,3.80,0.13,0.26,1.00,4.00,1.00,1,4,1
73,1.00,1.00,28.50,2.60,-1.42,-1.83,1.00,3.00,0.00,0,3,1
74,5.00,5.00,44.00,3.20,-0.11,-0.27,1.00,2.00,1.00,1,3,1
75,10.00,10.00,41.00,3.60,1.43,1.93,1.00,3.00,0.00,1,3,1
76,5.00,5.00,40.00,3.00,-0.08,-0.18,1.00,5.00,0.00,1,3,1
77,8.00,10.00,36.00,4.00,0.64,1.35,1.00,4.00,0.00,1,4,1
78,2.00,3.00,34.00,3.40,-0.74,-0.54,1.00,3.00,0.00,1,4,1
79,5.00,2.00,38.00,3.10,-0.07,-1.21,2.00,4.00,0.00,1,3,1
80,2.00,3.00,29.00,3.00,-1.00,-0.84,2.00,5.00,0.00,1,6,1
81,3.00,5.00,32.00,2.50,-0.56,-0.13,1.00,4.00,1.00,1,3,1
82,3.00,3.00,39.00,3.60,-0.69,-0.59,1.00,4.00,1.00,1,4,1
83,9.00,10.00,39.00,3.50,1.21,1.50,1.00,5.00,0.00,1,4,1
